date,time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2014-01-01,0,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,9,12,12,12,8,18,79,0.0,1016,12,10,106,5
2014-01-01,300,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,9,10,10,10,6,39,89,0.0,1016,10,10,101,4
2014-01-01,600,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,9,9,9,9,7,37,96,0.0,1017,9,2,97,4
2014-01-01,900,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,10,15,15,15,11,49,69,0.0,1017,15,10,129,6
2014-01-01,1200,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,9,20,20,20,18,80,50,0.1,1015,20,10,138,9
2014-01-01,1500,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,9,20,20,20,18,79,49,0.1,1011,20,10,132,8
2014-01-01,1800,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,9,17,17,17,17,20,65,0.0,1013,17,9,123,8
2014-01-01,2100,20,9,0.0,10.0,4,0,06:20 AM,06:25 PM,06:40 AM,06:17 PM,12,14,15,14,17,33,81,0.0,1016,15,9,89,11
2014-01-02,0,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,12,12,13,12,11,46,93,0.0,1017,13,9,112,7
2014-01-02,300,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,10,11,11,11,6,55,94,0.0,1016,11,10,117,5
2014-01-02,600,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,10,11,11,11,5,52,93,0.0,1017,11,5,95,3
2014-01-02,900,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,10,15,15,15,12,31,70,0.0,1018,15,10,115,6
2014-01-02,1200,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,8,19,19,19,22,84,50,0.1,1015,19,10,126,12
2014-01-02,1500,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,8,19,19,19,23,82,48,0.1,1012,19,10,110,14
2014-01-02,1800,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,10,17,17,17,21,15,62,0.0,1014,17,10,114,9
2014-01-02,2100,19,11,0.0,9.0,4,2,07:21 AM,07:29 PM,06:41 AM,06:17 PM,9,12,13,12,12,18,83,0.0,1017,13,10,102,7
2014-01-03,0,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,10,11,11,11,10,42,94,0.0,1018,11,10,96,6
2014-01-03,300,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,8,8,8,8,7,100,98,0.0,1017,8,0,90,4
2014-01-03,600,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,8,8,8,8,8,100,98,0.0,1018,8,0,87,4
2014-01-03,900,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,10,13,13,13,15,30,78,0.0,1018,13,10,111,6
2014-01-03,1200,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,7,19,19,19,24,9,44,0.0,1016,19,10,119,12
2014-01-03,1500,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,4,21,21,21,24,3,35,0.0,1012,21,10,118,13
2014-01-03,1800,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,5,17,17,17,26,4,51,0.0,1014,17,10,125,11
2014-01-03,2100,21,8,0.0,11.0,4,10,08:18 AM,08:29 PM,06:41 AM,06:18 PM,8,11,12,11,18,9,74,0.0,1017,12,10,76,9
2014-01-04,0,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,8,10,11,10,12,13,82,0.0,1019,11,10,88,6
2014-01-04,300,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,6,7,8,7,10,13,89,0.0,1018,8,10,78,5
2014-01-04,600,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,5,6,7,6,11,13,89,0.0,1018,7,10,72,5
2014-01-04,900,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,6,13,13,13,14,11,60,0.0,1019,13,10,114,7
2014-01-04,1200,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,5,18,18,18,25,7,40,0.0,1016,18,10,126,12
2014-01-04,1500,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,4,21,21,21,25,3,32,0.0,1012,21,10,98,13
2014-01-04,1800,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,6,17,17,17,23,3,47,0.0,1014,17,10,122,10
2014-01-04,2100,21,7,0.0,12.0,4,17,09:13 AM,09:28 PM,06:41 AM,06:18 PM,6,11,13,11,23,6,68,0.0,1017,13,10,78,11
2014-01-05,0,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,8,10,11,10,12,11,80,0.0,1018,11,10,81,6
2014-01-05,300,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,6,8,8,8,8,11,89,0.0,1017,8,10,58,4
2014-01-05,600,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,5,7,7,7,7,12,92,0.0,1018,7,10,75,3
2014-01-05,900,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,6,15,14,15,11,6,59,0.0,1018,14,10,129,5
2014-01-05,1200,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,5,21,21,21,16,5,35,0.0,1015,21,10,152,8
2014-01-05,1500,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,5,24,24,23,13,3,30,0.0,1011,23,10,183,4
2014-01-05,1800,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,8,20,20,20,12,3,44,0.0,1013,20,10,160,4
2014-01-05,2100,23,7,0.0,12.0,4,24,10:03 AM,10:24 PM,06:42 AM,06:19 PM,6,15,15,15,6,4,55,0.0,1015,15,10,127,3
2014-01-06,0,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,6,14,13,14,7,5,63,0.0,1016,13,10,117,3
2014-01-06,300,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,4,11,11,11,5,5,69,0.0,1014,11,10,102,3
2014-01-06,600,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,4,8,8,8,4,6,73,0.0,1015,8,10,101,2
2014-01-06,900,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,4,16,16,16,8,6,45,0.0,1016,16,10,130,4
2014-01-06,1200,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,4,21,21,21,17,4,33,0.0,1014,21,10,148,9
2014-01-06,1500,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,5,24,24,23,16,2,31,0.0,1010,23,10,154,6
2014-01-06,1800,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,6,20,20,20,18,2,41,0.0,1011,20,10,139,8
2014-01-06,2100,23,8,0.0,12.0,5,31,10:52 AM,11:18 PM,06:42 AM,06:19 PM,6,16,16,16,11,4,50,0.0,1014,16,10,104,7
2014-01-07,0,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,6,14,14,14,11,5,59,0.0,1015,14,10,115,6
2014-01-07,300,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,6,11,11,11,14,7,71,0.0,1014,11,10,72,7
2014-01-07,600,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,4,9,9,9,9,5,71,0.0,1015,9,10,83,4
2014-01-07,900,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,5,15,15,15,11,6,52,0.0,1016,15,10,129,6
2014-01-07,1200,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,5,21,21,21,19,6,37,0.0,1013,21,10,142,8
2014-01-07,1500,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,6,24,24,23,18,3,33,0.0,1009,23,10,168,10
2014-01-07,1800,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,8,19,19,19,18,4,47,0.0,1012,19,10,131,9
2014-01-07,2100,23,9,0.0,12.0,5,39,11:38 AM,No moonset,06:43 AM,06:20 PM,10,14,15,14,12,8,72,0.0,1015,15,10,104,7
2014-01-08,0,22,10,0.0,7.0,5,46,12:24 PM,12:09 AM,06:43 AM,06:21 PM,10,13,12,13,9,17,87,0.0,1016,12,10,94,5
2014-01-08,300,22,10,0.0,7.0,5,46,12:24 PM,12:09 AM,06:43 AM,06:21 PM,9,10,10,10,8,44,94,0.0,1015,10,10,89,4
2014-01-08,600,22,10,0.0,7.0,5,46,12:24 PM,12:09 AM,06:43 AM,06:21 PM,9,10,10,10,8,36,95,0.0,1016,10,2,102,4
2014-01-08,900,22,10,0.0,7.0,5,46,12:24 PM,12:09 AM,06:43 AM,06:21 PM,10,15,15,15,12,37,73,0.0,1017,15,10,133,6
2014-01-08,1200,22,10,0.0,7.0,5,46,12:24 PM,12:09 AM,06:43 AM,06:21 PM,9,20,20,20,21,15,48,0.0,1015,20,9,135,10
